,,Distribution of causes of death among children aged < 5 years (%),Distribution of causes of death among children aged < 5 years (%),Distribution of causes of death among children aged < 5 years (%)
Acute lower respiratory infections,2005,8,36.2,20.3
Acute lower respiratory infections,2004,8.3,39,21.9
Acute lower respiratory infections,2003,8.6,41.7,23.7
Acute lower respiratory infections,2002,8.9,44.4,25.5
Acute lower respiratory infections,2001,9.2,46.2,27
Acute lower respiratory infections,2000,9.3,47.2,28.1
Prematurity,2013,23.3,4.1,15.8
Prematurity,2012,23.3,4.1,15.7
Prematurity,2011,23.2,4,15.6
Prematurity,2010,23.4,3.9,15.5
Prematurity,2009,23.3,3.8,15.3
Prematurity,2008,23.4,3.7,15.2
Prematurity,2007,23.4,3.6,15.1
Prematurity,2006,23.3,3.5,14.8
Prematurity,2005,23.4,3.4,14.7
Prematurity,2004,23.5,3.3,14.5
Prematurity,2003,23.7,3.1,14.3
Prematurity,2002,23.9,3,14.2
Prematurity,2001,24.2,2.9,14
Prematurity,2000,24.7,2.8,13.9
Birth asphyxia and birth trauma,2013,24.8,0.5,15.3
Birth asphyxia and birth trauma,2012,24.8,0.5,15.2
Birth asphyxia and birth trauma,2011,25.2,0.5,15.4
Birth asphyxia and birth trauma,2010,26.1,0.5,15.7
Birth asphyxia and birth trauma,2009,26.7,0.5,15.9
Birth asphyxia and birth trauma,2008,27.6,0.5,16.3
Birth asphyxia and birth trauma,2007,28.4,0.5,16.7
Birth asphyxia and birth trauma,2006,29.3,0.6,16.9
Birth asphyxia and birth trauma,2005,30.3,0.5,17.3
Birth asphyxia and birth trauma,2004,31.3,0.5,17.6
Birth asphyxia and birth trauma,2003,32.4,0.5,17.9
Birth asphyxia and birth trauma,2002,33.3,0.5,18
Birth asphyxia and birth trauma,2001,34.1,0.5,18
Birth asphyxia and birth trauma,2000,34.9,0.5,17.9
Sepsis and other infectious conditions of the newborn,2013,3.8,0,2.3
Sepsis and other infectious conditions of the newborn,2012,3.8,0,2.3
Sepsis and other infectious conditions of the newborn,2011,3.9,0,2.3
Sepsis and other infectious conditions of the newborn,2010,4,0,2.4
Sepsis and other infectious conditions of the newborn,2009,4.1,0,2.4
Sepsis and other infectious conditions of the newborn,2008,4.3,0,2.5
Sepsis and other infectious conditions of the newborn,2007,4.5,0,2.6
Sepsis and other infectious conditions of the newborn,2006,4.7,0,2.7
Sepsis and other infectious conditions of the newborn,2005,5,0,2.8
Sepsis and other infectious conditions of the newborn,2004,5.3,0,2.9
Sepsis and other infectious conditions of the newborn,2003,5.6,0,3.1
Sepsis and other infectious conditions of the newborn,2002,6,0,3.2
Sepsis and other infectious conditions of the newborn,2001,6.3,0,3.3
Sepsis and other infectious conditions of the newborn,2000,6.6,0,3.3
"Other communicable, perinatal and nutritional conditions",2013,20.7,7.3,15.5
"Other communicable, perinatal and nutritional conditions",2012,20.7,7.3,15.5
"Other communicable, perinatal and nutritional conditions",2011,20.6,6.8,15.1
"Other communicable, perinatal and nutritional conditions",2010,19.9,6.7,14.5
"Other communicable, perinatal and nutritional conditions",2009,19.7,6.2,14.2
"Other communicable, perinatal and nutritional conditions",2008,18.9,5.8,13.5
"Other communicable, perinatal and nutritional conditions",2007,18.3,5,12.7
"Other communicable, perinatal and nutritional conditions",2006,17.7,4.2,11.9
"Other communicable, perinatal and nutritional conditions",2005,16.5,3.8,11
"Other communicable, perinatal and nutritional conditions",2004,15.5,3.2,10
"Other communicable, perinatal and nutritional conditions",2003,13.9,2.6,8.7
"Other communicable, perinatal and nutritional conditions",2002,12.5,2.2,7.7
"Other communicable, perinatal and nutritional conditions",2001,11.2,1.8,6.6
"Other communicable, perinatal and nutritional conditions",2000,9.4,1.9,5.7
Congenital anomalies,2013,14.6,10.7,13.1
Congenital anomalies,2012,14.6,10.8,13.1
Congenital anomalies,2011,14.1,10.3,12.6
Congenital anomalies,2010,13.6,9.7,12
Congenital anomalies,2009,13,9.2,11.4
Congenital anomalies,2008,12.4,8.5,10.8
Congenital anomalies,2007,11.7,8,10.1
Congenital anomalies,2006,11,7.4,9.5
Congenital anomalies,2005,10.4,6.8,8.8
Congenital anomalies,2004,9.8,6.2,8.2
Congenital anomalies,2003,9.2,5.6,7.6
Congenital anomalies,2002,8.8,5,7
Congenital anomalies,2001,8.5,4.6,6.6
Congenital anomalies,2000,8.4,4.4,6.4
Other noncommunicable diseases,2013,0.1,9.7,3.9
Other noncommunicable diseases,2012,0.1,9.7,3.9
Other noncommunicable diseases,2011,0.1,9.5,3.8
Other noncommunicable diseases,2010,0.1,9.8,4
Other noncommunicable diseases,2009,0.1,9,3.8
Other noncommunicable diseases,2008,0.1,8.8,3.7
Other noncommunicable diseases,2007,0.1,8.5,3.6
Other noncommunicable diseases,2006,0.1,7.8,3.4
Other noncommunicable diseases,2005,0.1,6.9,3
Other noncommunicable diseases,2004,0,5.6,2.5
Other noncommunicable diseases,2003,0.1,4.5,2.1
Other noncommunicable diseases,2002,0,3.4,1.6
Other noncommunicable diseases,2001,0,2.6,1.3
Other noncommunicable diseases,2000,0,2.6,1.3
Injuries,2013,4,26.5,12.8
Injuries,2012,4,26.6,12.9
Injuries,2011,4,26.5,12.9
Injuries,2010,4,25.7,12.8
Injuries,2009,4,25.3,12.7
Injuries,2008,4,24.6,12.6
Injuries,2007,4,24.3,12.6
Injuries,2006,4,24.1,12.6
Injuries,2005,4,23.5,12.5
Injuries,2004,4,23.1,12.5
Injuries,2003,4,22.6,12.4
Injuries,2002,4,22.1,12.4
Injuries,2001,4,21.5,12.4
Injuries,2000,4,21.1,12.4
